file	kept	input_total
surgery_clinical_trials_pubmed25n0119.xml	9	388
surgery_clinical_trials_pubmed25n0120.xml	15	378
surgery_clinical_trials_pubmed25n0121.xml	4	215
surgery_clinical_trials_pubmed25n0122.xml	15	427
surgery_clinical_trials_pubmed25n0123.xml	14	372
surgery_clinical_trials_pubmed25n0124.xml	17	419
surgery_clinical_trials_pubmed25n0125.xml	8	348
surgery_clinical_trials_pubmed25n0126.xml	10	341
surgery_clinical_trials_pubmed25n0127.xml	8	401
surgery_clinical_trials_pubmed25n0128.xml	3	213
surgery_clinical_trials_pubmed25n0129.xml	11	572
surgery_clinical_trials_pubmed25n0130.xml	15	630
surgery_clinical_trials_pubmed25n0131.xml	12	418
surgery_clinical_trials_pubmed25n0132.xml	16	384
surgery_clinical_trials_pubmed25n0133.xml	8	376
surgery_clinical_trials_pubmed25n0134.xml	11	381
surgery_clinical_trials_pubmed25n0135.xml	6	359
surgery_clinical_trials_pubmed25n0136.xml	4	289
surgery_clinical_trials_pubmed25n0137.xml	0	109
surgery_clinical_trials_pubmed25n0138.xml	0	137
surgery_clinical_trials_pubmed25n0139.xml	0	58
surgery_clinical_trials_pubmed25n0140.xml	5	175
surgery_clinical_trials_pubmed25n0141.xml	2	29
surgery_clinical_trials_pubmed25n0142.xml	2	152
surgery_clinical_trials_pubmed25n0143.xml	0	27
surgery_clinical_trials_pubmed25n0144.xml	1	25
surgery_clinical_trials_pubmed25n0145.xml	1	99
surgery_clinical_trials_pubmed25n0146.xml	0	41
surgery_clinical_trials_pubmed25n0147.xml	1	201
surgery_clinical_trials_pubmed25n0148.xml	2	178
surgery_clinical_trials_pubmed25n0149.xml	0	66
surgery_clinical_trials_pubmed25n0150.xml	0	75
surgery_clinical_trials_pubmed25n0151.xml	3	177
surgery_clinical_trials_pubmed25n0152.xml	0	225
surgery_clinical_trials_pubmed25n0153.xml	6	397
surgery_clinical_trials_pubmed25n0154.xml	0	135
surgery_clinical_trials_pubmed25n0155.xml	0	61
surgery_clinical_trials_pubmed25n0156.xml	0	102
surgery_clinical_trials_pubmed25n0157.xml	0	82
surgery_clinical_trials_pubmed25n0158.xml	1	147
surgery_clinical_trials_pubmed25n0159.xml	0	135
surgery_clinical_trials_pubmed25n0160.xml	2	171
surgery_clinical_trials_pubmed25n0161.xml	4	222
surgery_clinical_trials_pubmed25n0162.xml	0	151
surgery_clinical_trials_pubmed25n0163.xml	1	211
surgery_clinical_trials_pubmed25n0164.xml	1	190
surgery_clinical_trials_pubmed25n0165.xml	0	76
surgery_clinical_trials_pubmed25n0166.xml	1	63
surgery_clinical_trials_pubmed25n0167.xml	0	62
surgery_clinical_trials_pubmed25n0168.xml	0	61
surgery_clinical_trials_pubmed25n0169.xml	0	65
surgery_clinical_trials_pubmed25n0170.xml	1	65
surgery_clinical_trials_pubmed25n0171.xml	0	35
surgery_clinical_trials_pubmed25n0172.xml	0	35
surgery_clinical_trials_pubmed25n0173.xml	0	13
surgery_clinical_trials_pubmed25n0174.xml	0	54
surgery_clinical_trials_pubmed25n0175.xml	0	60
surgery_clinical_trials_pubmed25n0176.xml	0	45
surgery_clinical_trials_pubmed25n0177.xml	0	199
surgery_clinical_trials_pubmed25n0178.xml	0	79
surgery_clinical_trials_pubmed25n0179.xml	1	53
surgery_clinical_trials_pubmed25n0180.xml	0	65
surgery_clinical_trials_pubmed25n0181.xml	0	75
surgery_clinical_trials_pubmed25n0182.xml	0	61
surgery_clinical_trials_pubmed25n0183.xml	0	51
surgery_clinical_trials_pubmed25n0184.xml	1	67
surgery_clinical_trials_pubmed25n0185.xml	0	71
surgery_clinical_trials_pubmed25n0186.xml	0	35
surgery_clinical_trials_pubmed25n0187.xml	0	46
surgery_clinical_trials_pubmed25n0188.xml	0	62
surgery_clinical_trials_pubmed25n0189.xml	1	50
surgery_clinical_trials_pubmed25n0190.xml	1	41
surgery_clinical_trials_pubmed25n0191.xml	0	40
surgery_clinical_trials_pubmed25n0192.xml	1	71
surgery_clinical_trials_pubmed25n0193.xml	2	66
surgery_clinical_trials_pubmed25n0194.xml	1	34
surgery_clinical_trials_pubmed25n0195.xml	0	16
surgery_clinical_trials_pubmed25n0196.xml	0	21
surgery_clinical_trials_pubmed25n0197.xml	0	34
surgery_clinical_trials_pubmed25n0198.xml	0	23
surgery_clinical_trials_pubmed25n0199.xml	0	14
surgery_clinical_trials_pubmed25n0200.xml	0	54
surgery_clinical_trials_pubmed25n0201.xml	1	25
surgery_clinical_trials_pubmed25n0202.xml	2	75
surgery_clinical_trials_pubmed25n0203.xml	5	280
surgery_clinical_trials_pubmed25n0204.xml	8	274
surgery_clinical_trials_pubmed25n0205.xml	8	276
surgery_clinical_trials_pubmed25n0206.xml	14	368
surgery_clinical_trials_pubmed25n0208.xml	7	155
surgery_clinical_trials_pubmed25n0209.xml	3	199
surgery_clinical_trials_pubmed25n0210.xml	9	212
surgery_clinical_trials_pubmed25n0211.xml	16	649
surgery_clinical_trials_pubmed25n0212.xml	11	740
surgery_clinical_trials_pubmed25n0213.xml	10	455
surgery_clinical_trials_pubmed25n0214.xml	19	380
surgery_clinical_trials_pubmed25n0216.xml	10	373
surgery_clinical_trials_pubmed25n0217.xml	5	300
surgery_clinical_trials_pubmed25n0218.xml	6	170
surgery_clinical_trials_pubmed25n0219.xml	14	354
surgery_clinical_trials_pubmed25n0220.xml	6	407
surgery_clinical_trials_pubmed25n0221.xml	5	357
surgery_clinical_trials_pubmed25n0222.xml	10	304
surgery_clinical_trials_pubmed25n0223.xml	12	391
surgery_clinical_trials_pubmed25n0224.xml	8	404
surgery_clinical_trials_pubmed25n0225.xml	7	399
surgery_clinical_trials_pubmed25n0226.xml	5	299
surgery_clinical_trials_pubmed25n0227.xml	14	399
surgery_clinical_trials_pubmed25n0228.xml	11	430
surgery_clinical_trials_pubmed25n0229.xml	10	284
surgery_clinical_trials_pubmed25n0230.xml	4	84
surgery_clinical_trials_pubmed25n0231.xml	2	295
surgery_clinical_trials_pubmed25n0232.xml	3	376
surgery_clinical_trials_pubmed25n0233.xml	9	558
surgery_clinical_trials_pubmed25n0234.xml	4	589
surgery_clinical_trials_pubmed25n0235.xml	12	440
surgery_clinical_trials_pubmed25n0236.xml	11	358
surgery_clinical_trials_pubmed25n0237.xml	7	330
surgery_clinical_trials_pubmed25n0238.xml	6	242
surgery_clinical_trials_pubmed25n0239.xml	10	239
surgery_clinical_trials_pubmed25n0240.xml	7	278
surgery_clinical_trials_pubmed25n0241.xml	5	313
surgery_clinical_trials_pubmed25n0242.xml	6	305
surgery_clinical_trials_pubmed25n0243.xml	4	282
surgery_clinical_trials_pubmed25n0244.xml	4	254
surgery_clinical_trials_pubmed25n0245.xml	9	292
surgery_clinical_trials_pubmed25n0246.xml	8	271
surgery_clinical_trials_pubmed25n0247.xml	8	274
surgery_clinical_trials_pubmed25n0248.xml	7	292
surgery_clinical_trials_pubmed25n0249.xml	22	875
surgery_clinical_trials_pubmed25n0250.xml	34	689
surgery_clinical_trials_pubmed25n0251.xml	39	871
surgery_clinical_trials_pubmed25n0252.xml	31	797
surgery_clinical_trials_pubmed25n0253.xml	27	919
surgery_clinical_trials_pubmed25n0254.xml	26	815
surgery_clinical_trials_pubmed25n0255.xml	23	837
surgery_clinical_trials_pubmed25n0256.xml	14	614
surgery_clinical_trials_pubmed25n0257.xml	24	882
surgery_clinical_trials_pubmed25n0258.xml	24	713
surgery_clinical_trials_pubmed25n0259.xml	25	936
surgery_clinical_trials_pubmed25n0260.xml	19	730
surgery_clinical_trials_pubmed25n0261.xml	39	834
surgery_clinical_trials_pubmed25n0262.xml	44	944
surgery_clinical_trials_pubmed25n0263.xml	20	594
surgery_clinical_trials_pubmed25n0264.xml	16	1001
surgery_clinical_trials_pubmed25n0265.xml	26	1021
surgery_clinical_trials_pubmed25n0266.xml	20	889
surgery_clinical_trials_pubmed25n0267.xml	20	699
surgery_clinical_trials_pubmed25n0269.xml	17	652
surgery_clinical_trials_pubmed25n0270.xml	19	638
surgery_clinical_trials_pubmed25n0271.xml	17	597
surgery_clinical_trials_pubmed25n0272.xml	21	783
surgery_clinical_trials_pubmed25n0273.xml	25	747
surgery_clinical_trials_pubmed25n0274.xml	21	627
surgery_clinical_trials_pubmed25n0275.xml	28	663
surgery_clinical_trials_pubmed25n0277.xml	24	673
surgery_clinical_trials_pubmed25n0278.xml	24	646
surgery_clinical_trials_pubmed25n0279.xml	17	476
surgery_clinical_trials_pubmed25n0280.xml	20	635
surgery_clinical_trials_pubmed25n0281.xml	22	706
surgery_clinical_trials_pubmed25n0282.xml	24	664
surgery_clinical_trials_pubmed25n0283.xml	22	631
surgery_clinical_trials_pubmed25n0284.xml	28	733
surgery_clinical_trials_pubmed25n0285.xml	30	832
surgery_clinical_trials_pubmed25n0286.xml	24	848
surgery_clinical_trials_pubmed25n0287.xml	23	997
surgery_clinical_trials_pubmed25n0288.xml	26	999
surgery_clinical_trials_pubmed25n0289.xml	25	1076
surgery_clinical_trials_pubmed25n0290.xml	30	791
surgery_clinical_trials_pubmed25n0291.xml	21	797
surgery_clinical_trials_pubmed25n0292.xml	22	757
surgery_clinical_trials_pubmed25n0293.xml	27	662
surgery_clinical_trials_pubmed25n0294.xml	28	753
surgery_clinical_trials_pubmed25n0295.xml	23	736
surgery_clinical_trials_pubmed25n0296.xml	16	710
surgery_clinical_trials_pubmed25n0297.xml	20	637
surgery_clinical_trials_pubmed25n0298.xml	30	751
surgery_clinical_trials_pubmed25n0299.xml	20	706
surgery_clinical_trials_pubmed25n0300.xml	14	665
surgery_clinical_trials_pubmed25n0301.xml	21	939
surgery_clinical_trials_pubmed25n0302.xml	20	787
surgery_clinical_trials_pubmed25n0303.xml	16	885
surgery_clinical_trials_pubmed25n0304.xml	27	815
surgery_clinical_trials_pubmed25n0305.xml	25	819
surgery_clinical_trials_pubmed25n0306.xml	18	727
surgery_clinical_trials_pubmed25n0307.xml	13	813
surgery_clinical_trials_pubmed25n0308.xml	25	751
surgery_clinical_trials_pubmed25n0309.xml	29	852
surgery_clinical_trials_pubmed25n0310.xml	28	801
surgery_clinical_trials_pubmed25n0311.xml	29	763
surgery_clinical_trials_pubmed25n0312.xml	26	823
surgery_clinical_trials_pubmed25n0313.xml	17	877
surgery_clinical_trials_pubmed25n0314.xml	23	874
surgery_clinical_trials_pubmed25n0316.xml	17	700
surgery_clinical_trials_pubmed25n0317.xml	24	755
surgery_clinical_trials_pubmed25n0318.xml	32	855
surgery_clinical_trials_pubmed25n0319.xml	14	800
surgery_clinical_trials_pubmed25n0320.xml	24	966
surgery_clinical_trials_pubmed25n0321.xml	34	858
surgery_clinical_trials_pubmed25n0322.xml	16	863
surgery_clinical_trials_pubmed25n0323.xml	20	746
surgery_clinical_trials_pubmed25n0324.xml	27	789
surgery_clinical_trials_pubmed25n0325.xml	17	796
surgery_clinical_trials_pubmed25n0326.xml	33	1019
surgery_clinical_trials_pubmed25n0327.xml	35	883
surgery_clinical_trials_pubmed25n0328.xml	10	454
surgery_clinical_trials_pubmed25n0329.xml	19	629
surgery_clinical_trials_pubmed25n0330.xml	4	114
surgery_clinical_trials_pubmed25n0331.xml	6	153
surgery_clinical_trials_pubmed25n0332.xml	3	179
surgery_clinical_trials_pubmed25n0333.xml	18	301
surgery_clinical_trials_pubmed25n0334.xml	20	903
surgery_clinical_trials_pubmed25n0335.xml	7	314
surgery_clinical_trials_pubmed25n0336.xml	1	263
surgery_clinical_trials_pubmed25n0337.xml	3	198
surgery_clinical_trials_pubmed25n0338.xml	15	798
surgery_clinical_trials_pubmed25n0339.xml	28	834
surgery_clinical_trials_pubmed25n0340.xml	0	24
surgery_clinical_trials_pubmed25n0341.xml	0	16
surgery_clinical_trials_pubmed25n0342.xml	5	362
surgery_clinical_trials_pubmed25n0343.xml	16	636
surgery_clinical_trials_pubmed25n0344.xml	26	827
