procedure	total
prostatectomy	401
hysterectomy	103
nephrectomy	86
gastrectomy	52
cholecystectomy	32
thyroidectomy	30
lobectomy	19
colectomy	17
esophagectomy	17
pancreatectomy	17
rectopexy	10
adrenalectomy	9
myomectomy	8
segmentectomy	7
hepatectomy	6
appendectomy	1
proctectomy	1
