year	count
1958	1
1964	1
1967	2
1968	3
1969	5
1970	3
1971	4
1973	1
1974	24
1975	40
1976	52
1977	49
1978	63
1979	46
1980	65
1981	45
1982	65
1983	96
1984	92
1985	90
1986	127
1987	145
1988	166
1989	186
1990	204
1991	202
1992	271
1993	253
1994	292
1995	351
1996	319
1997	306
1998	335
1999	351
2000	299
2001	284
2002	361
2003	560
2004	665
2005	659
2006	541
2007	372
2008	449
2009	445
2010	530
2011	663
2012	640
2013	698
2014	582
2015	549
2016	625
2017	519
2018	590
2019	577
2020	502
2021	434
2022	298
2023	285
2024	1165
2025	1842
