journal	total
Radiation oncology (London, England)	3
International journal of medical sciences	3
Acta oto-laryngologica	3
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology	3
European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society	3
Journal of pediatric urology	3
Gynecologic and obstetric investigation	3
The Journal of burn care & rehabilitation	2
Journal of orthopaedic research : official publication of the Orthopaedic Research Society	2
Cancer research	2
Gan to kagaku ryoho. Cancer & chemotherapy	2
International surgery	2
Journal of neurosurgery	2
International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	2
Biomaterials	2
Revista da Associacao Medica Brasileira (1992)	2
Archivos espanoles de urologia	2
