country	total
United States	1022
England	646
Germany	241
Netherlands	104
Switzerland	84
Australia	30
Italy	27
China	27
Japan	26
France	19
Brazil	13
Russia (Federation)	12
Ireland	12
Korea (South)	11
Sweden	11
Spain	9
Austria	9
Greece	9
India	7
Canada	7
Denmark	6
Poland	4
Scotland	3
Pakistan	3
Turkey	3
Israel	2
Singapore	2
Romania	2
Norway	1
Serbia	1
Hungary	1
Lebanon	1
Georgia (Republic)	1
Cyprus	1
China (Republic : 1949- )	1
Czech Republic	1
Egypt	1
New Zealand	1
