year	count
1977	3
1978	5
1979	1
1981	2
1982	1
1983	2
1986	3
1987	3
1988	1
1989	2
1990	4
1991	5
1992	5
1993	1
1994	9
1995	7
1996	10
1997	13
1998	16
1999	12
2000	19
2001	26
2002	21
2003	28
2004	28
2005	32
2006	26
2007	39
2008	28
2009	48
2010	50
2011	64
2012	67
2013	92
2014	87
2015	102
2016	98
2017	108
2018	109
2019	105
2020	111
2021	140
2022	143
2023	155
2024	238
2025	292
